origen_aseguradora,id_original,marca,modelo,anio,version_original,transmision,activo
ATLAS,14987,ACURA,ACURA ILX,2013,ACURA ILX 2.0L L4 150HP AUT PREMIUM,AUTO,1
ATLAS,14990,ACURA,ACURA ILX,2013,ACURA ILX 2.0L L4 150HP AUT TECH,AUTO,1
ATLAS,14991,ACURA,ACURA ILX,2014,ACURA ILX 2.0L L4 150HP AUT TECH,AUTO,1
ATLAS,14988,ACURA,ACURA ILX,2014,ACURA ILX 2.0L L4 150HP AUT PREMIUM,AUTO,1
ATLAS,16632,ACURA,ACURA ILX,2014,ACURA ILX 2.0L L4 150HP AUT LUXURY,AUTO,1
ATLAS,14989,ACURA,ACURA ILX,2015,ACURA ILX 2.0L L4 150HP AUT PREMIUM,AUTO,1
ATLAS,14992,ACURA,ACURA ILX,2015,ACURA ILX 2.0L L4 150HP AUT TECH,AUTO,1
ATLAS,14993,ACURA,ACURA ILX,2016,ACURA ILX 2.0L L4 150HP AUT TECH,AUTO,1
ATLAS,19411,ACURA,ACURA ILX,2016,ACURA ILX 2.4L L4 A-SPEC AUT,AUTO,1
ATLAS,14994,ACURA,ACURA ILX,2017,ACURA ILX 2.0L L4 150HP AUT TECH,AUTO,1
ATLAS,19412,ACURA,ACURA ILX,2017,ACURA ILX 2.4L L4 A-SPEC AUT,AUTO,1
ATLAS,14995,ACURA,ACURA ILX,2018,ACURA ILX 2.0L L4 150HP AUT TECH,AUTO,1
ATLAS,19413,ACURA,ACURA ILX,2018,ACURA ILX 2.4L L4 A-SPEC AUT,AUTO,1
ATLAS,19414,ACURA,ACURA ILX,2019,ACURA ILX 2.4L L4 A-SPEC AUT,AUTO,1
ATLAS,14996,ACURA,ACURA ILX,2019,ACURA ILX 2.0L L4 150HP AUT TECH,AUTO,1
ATLAS,19415,ACURA,ACURA ILX,2020,ACURA ILX 2.4L L4 A-SPEC AUT,AUTO,1
ATLAS,14997,ACURA,ACURA ILX,2020,ACURA ILX 2.0L L4 150HP AUT TECH,AUTO,1
ATLAS,12155,ACURA,ACURA MDX,2005,ACURA MDX 3.5L V6,,1
ATLAS,12156,ACURA,ACURA MDX,2006,ACURA MDX 3.5L V6,,1
ATLAS,12157,ACURA,ACURA MDX,2007,ACURA MDX 3.5L V6,,1
ATLAS,12158,ACURA,ACURA MDX,2008,ACURA MDX 3.5L V6,,1
ATLAS,12159,ACURA,ACURA MDX,2009,ACURA MDX 3.5L V6,,1
ATLAS,12160,ACURA,ACURA MDX,2010,ACURA MDX 3.5L V6,,1
ATLAS,12161,ACURA,ACURA MDX,2011,ACURA MDX 3.5L V6,,1
ATLAS,12162,ACURA,ACURA MDX,2012,ACURA MDX 3.5L V6,,1
ATLAS,12163,ACURA,ACURA MDX,2013,ACURA MDX 3.5L V6,,1
ATLAS,12164,ACURA,ACURA MDX,2014,ACURA MDX 3.5L V6,,1
ATLAS,18949,ACURA,ACURA MDX,2014,ACURA MDX TECH 3.5L V6,,1
