origen_aseguradora,id_original,marca,modelo,anio,version_original,transmision,activo
AXA,78907,ACURA,ILX,2013,ILX TECH NAVEG AUT 4P AC PIEL 4CIL,AUTO,TRUE
AXA,81174,ACURA,ILX,2013,PREMIUM AUT 4P AC PIEL 4CIL,AUTO,TRUE
AXA,82807,ACURA,ILX,2013,TECH NAVEG AUT 4P AC PIEL 4CIL,AUTO,TRUE
AXA,85437,ACURA,ILX,2014,GENERICA,,TRUE
AXA,87020,ACURA,ILX,2014,LUXURY AUT 4P AC 4CIL,AUTO,TRUE
AXA,87327,ACURA,ILX,2016,A SPEC AUT 4P PIEL 4CIL,AUTO,TRUE
AXA,89007,ACURA,ILX FRONT,2013,GENERICA,,TRUE
AXA,93230,ACURA,INTEGRA,2023,A-SPEC AUT 1.5L 4P 4CIL,AUTO,TRUE
AXA,94907,ACURA,INTEGRA,2024,TYPE S STD 4CIL 2L 4P,MANUAL,TRUE
AXA,78714,ACURA,MDX,2001,GENERICA,,TRUE
AXA,77048,ACURA,MDX,2001,GENERICA,,TRUE
AXA,84406,ACURA,MDX,2005,AUT 5P 6CIL 4X4,AUTO,TRUE
AXA,85390,ACURA,MDX,2014,MDX AUT 5P 6CIL 4X4,AUTO,TRUE
AXA,87285,ACURA,MDX,2014,MDX AUT 5P 6CIL 4X4,AUTO,TRUE
AXA,82155,ACURA,MDX,2014,TECH AUT 5P 6CIL 4X4,AUTO,TRUE
AXA,77493,ACURA,MDX,2016,AUT 5P 6CIL 4X4,AUTO,TRUE
AXA,77913,ACURA,MDX,2019,TECH 4X4 AUT 5P 6CIL,AUTO,TRUE
AXA,84387,ACURA,MDX,2019,A-SPEC 3.5 AUT 5P 6CIL 4WD,AUTO,TRUE
AXA,92977,ACURA,MDX,2022,ADVANCE AUT 3.5L 6CIL 4X4 5P QC,AUTO,TRUE
AXA,93593,ACURA,MDX,2022,TYPE S AUT 3.0L 6CIL 4X4 5P QC,AUTO,TRUE
AXA,85757,ACURA,NSX,2017,EXCLUSIVE AUT 2P 6CIL,AUTO,TRUE
AXA,89027,ACURA,NSX,2017,COUPE HIBRIDO 2P 6CIL,,TRUE
AXA,80902,ACURA,NSX,2017,AUT 2P 6CIL,AUTO,TRUE
AXA,89253,ACURA,NSX,2020,AUT 3.5L 6CIL 4X4 2P,AUTO,TRUE
AXA,89254,ACURA,NSX,2020,EXCLUSIVE AUT 3.5L 6CIL 4X4 2P,AUTO,TRUE
AXA,80319,ACURA,RDX,2007,GENERICA,,TRUE
AXA,78688,ACURA,RDX,2007,GENERICA,,TRUE
AXA,82808,ACURA,RDX,2007,TURBO AUT 5P 4CIL 4X4,AUTO,TRUE
AXA,79415,ACURA,RDX,2013,NAVEG AUT 5P AC 6CIL QC 4X4,AUTO,TRUE
AXA,81177,ACURA,RDX,2013,NAVEG AUT 4P AC 6CIL QC 4X4,AUTO,TRUE
AXA,84179,ACURA,RDX,2019,RDX TECH 2.0 AUT 5P 4CIL,AUTO,TRUE
AXA,89021,ACURA,RDX,2019,TURBO AUT 5P 4CIL 4X4,AUTO,TRUE
AXA,87478,ACURA,RDX,2019,RDX A-SPEC 2.0 AUT 5P 4CIL,AUTO,TRUE
AXA,89249,ACURA,RDX,2021,TECH AUT 2L 4CIL 4X4 5P QC,AUTO,TRUE
AXA,89250,ACURA,RDX,2021,RDX TECH 2.0 AUT 5P 4CIL,AUTO,TRUE
AXA,89251,ACURA,RDX,2021,A-SPEC 2.0 AUT 5P 4CIL,AUTO,TRUE
AXA,93635,ACURA,RDX,2022,ADVANCE AUT 2L 4CIL 4X4 5P QC,AUTO,TRUE
AXA,87695,ACURA,RL,2005,AUT 4P 6CIL 4X4,AUTO,TRUE
AXA,82153,ACURA,RLX,2014,AUT 4P 6CIL,AUTO,TRUE
AXA,83541,ACURA,RSX,2002,GENERICA,,TRUE
AXA,83547,ACURA,RSX,2002,GENERICA,,TRUE
AXA,87696,ACURA,TL,2004,AUT 4P 6CIL,AUTO,TRUE
AXA,81196,ACURA,TL,2009,R18 AUT 4P 6CIL 4X4,AUTO,TRUE
AXA,82432,ACURA,TLX,2015,TECH STD  4P AC PIEL 4CIL 2.4L,AUTO,TRUE
AXA,80667,ACURA,TLX,2015,ADVANCE AUT 4P AC PIEL 6CIL 3.5L,AUTO,TRUE
AXA,80807,ACURA,TLX,2015,TECH AUT 4P 4CIL,AUTO,TRUE
AXA,85562,ACURA,TLX,2015,TECH STD  4P AC PIEL 4CIL 2.4L,MANUAL,TRUE
AXA,88951,ACURA,TLX,2016,GENERICA,,TRUE
AXA,79419,ACURA,TLX,2018,TLX GENERICA,,TRUE
AXA,79270,ACURA,TLX,2018,A-SPEC AUT 4P 6CIL,AUTO,TRUE
AXA,89252,ACURA,TLX,2021,ADVANCE AUT 2L 4CIL 4P QC,AUTO,TRUE
AXA,93574,ACURA,TLX,2022,TYPE S AUT 3L 6CIL 4P QC,AUTO,TRUE
AXA,86033,ACURA,TLX FRONT,2015,GENERICA,,TRUE
AXA,93346,ACURA,TLX FRONT,2017,GENERICA,,TRUE
AXA,85186,ACURA,TSX,2004,GENERICA,,TRUE
AXA,83508,ACURA,TSX,2004,GENERICA,,TRUE
AXA,84416,ACURA,TSX,2009,AUT 4P 4CIL,AUTO,TRUE
AXA,84417,ACURA,TSX,2010,R18 AUT 4P 6CIL,AUTO,TRUE
AXA,77008,ACURA,ZDX,2006,GENERICA,,TRUE
AXA,86099,ACURA,ZDX,2010,TECHO PANORAMICO AUT 2P 6CIL,AUTO,TRUE
AXA,86838,ACURA,ZDX,2010,GENERICA,,TRUE
AXA,79555,ALFA ROMEO,147,2002,SELESPEED 3P PIEL 4CIL,AUTO,TRUE
AXA,79556,ALFA ROMEO,147,2002,SELESPEED 4P PIEL 4CIL,AUTO,TRUE
AXA,81198,ALFA ROMEO,147,2002,STD 3P 4CIL,MANUAL,TRUE
AXA,87699,ALFA ROMEO,147,2003,SELESPEED 5P 4CIL QC,AUTO,TRUE
AXA,87700,ALFA ROMEO,147,2003,SELESPEED 5P PIEL 4CIL,AUTO,TRUE
AXA,84418,ALFA ROMEO,147,2003,SELESPEED 3P 4CIL QC,AUTO,TRUE
AXA,84419,ALFA ROMEO,147,2004,STD 3P PIEL 4CIL,MANUAL,TRUE
AXA,81197,ALFA ROMEO,147,2004,DEPORTIVO SAL 3P PIEL 4CIL QC,,TRUE
AXA,79560,ALFA ROMEO,156,2002,SPORT WAGON SELESPEED 4P 4CIL,AUTO,TRUE
AXA,84420,ALFA ROMEO,156,2002,Q SYSTEM AUT 4P 6CIL,AUTO,TRUE
AXA,86101,ALFA ROMEO,156,2002,SELESPEED 5P PIEL 4CIL,AUTO,TRUE
AXA,86102,ALFA ROMEO,156,2003,SPORT WAGON JTS 5P PIEL 4CIL,,TRUE
AXA,82816,ALFA ROMEO,156,2003,SPORT WAGON GTA STD 5P 6CIL QC,MANUAL,TRUE
AXA,82817,ALFA ROMEO,156,2003,SPORT WAGON JTS 5P PIEL 4CIL QC,,TRUE
AXA,82814,ALFA ROMEO,156,2003,GTA STD 4P 6CIL QC,MANUAL,TRUE
AXA,79557,ALFA ROMEO,156,2003,JTS SELESPEED 4P 4CIL,AUTO,TRUE
AXA,79558,ALFA ROMEO,156,2003,JTS SELESPEED 4P 4CIL QC,AUTO,TRUE
AXA,79559,ALFA ROMEO,156,2003,SPORT WAGON GTA STD 5P 6CIL,MANUAL,TRUE
AXA,81200,ALFA ROMEO,156,2003,GTA STD 4P 6CIL,MANUAL,TRUE
AXA,81201,ALFA ROMEO,156,2003,Q SYSTEM AUT 4P 6CIL QC,AUTO,TRUE
AXA,81199,ALFA ROMEO,156,2004,DEPORTIVO SAL CD 4P PIEL 4CIL QC,,TRUE
AXA,82815,ALFA ROMEO,156,2004,SELESPEED 4P PIEL 4CIL QC,AUTO,TRUE
AXA,86100,ALFA ROMEO,156,2004,SELESPEED 4P PIEL 4CIL,AUTO,TRUE
AXA,87701,ALFA ROMEO,159,2007,JTS Q4 AUT 4P 6CIL 4X4,AUTO,TRUE
AXA,87702,ALFA ROMEO,159,2007,JTS SS SELESPEED 4P 4CIL,AUTO,TRUE
AXA,87703,ALFA ROMEO,166,2002,AUT 4P PIEL 6CIL,AUTO,TRUE
AXA,84421,ALFA ROMEO,166,2002,STD 4P 6CIL,MANUAL,TRUE
AXA,85791,ALFA ROMEO,4C,2015,AUT 2P 4CIL,AUTO,TRUE
AXA,88806,ALFA ROMEO,4C,2016,COMPETIZIONE AUT 2P 4CIL,AUTO,TRUE
AXA,82383,ALFA ROMEO,4C,2016,COMPETIZIONEAUT 2P 4CIL,AUTO,TRUE
AXA,80828,ALFA ROMEO,4C,2016,COMPETIZIONEAUT 2P 4CIL,,TRUE
AXA,84079,ALFA ROMEO,4C,2017,SPIDER TCT 2P 4CIL,AUTO,TRUE
AXA,86103,ALFA ROMEO,BRERA,2007,COUP� STD 2P PIEL 4CIL,MANUAL,TRUE
AXA,89266,ALFA ROMEO,BRERA,2007,COUPÃ¿ STD 2P PIEL 4CIL,MANUAL,TRUE
AXA,89267,ALFA ROMEO,BRERA,2007,COUP?Ù STD 2P PIEL 4CIL,MANUAL,TRUE
AXA,87422,ALFA ROMEO,GIULIA,2017,TI AUT 4P 4CIL,AUTO,TRUE
AXA,85780,ALFA ROMEO,GIULIA,2017,QUADRIFOGLIO VERDE AUT 4P 6CIL,AUTO,TRUE
AXA,92764,ALFA ROMEO,GIULIA,2021,TI LUSSO AUT 2L 4CIL 4P QC,,TRUE
AXA,92814,ALFA ROMEO,GIULIA,2021,QUADRIFOGLIO VERDE AUT 2.9L 6CIL 4P,,TRUE
AXA,92815,ALFA ROMEO,GIULIA,2021,TI AUT 2L 4CIL 4P QC,,TRUE
AXA,93142,ALFA ROMEO,GIULIA,2022,VELOCE AUT 2L 4CIL 4P QC,AUTO,TRUE
AXA,93575,ALFA ROMEO,GIULIA,2023,ESTREMA 2.0 AUT 4P 4CIL,AUTO,TRUE
AXA,94395,ALFA ROMEO,GIULIA,2024,COMPETIZIONE AUT 2L 4CIL 4P,AUTO,TRUE
AXA,94755,ALFA ROMEO,GIULIA,2024,QV AUT 2.9L 6CIL 4P 505 CP,AUTO,TRUE
AXA,94757,ALFA ROMEO,GIULIA,2024,QV CARBON EDITION V6 2.9T 6 CIL 505 CP 4P AUT,AUTO,TRUE
AXA,94840,ALFA ROMEO,GIULIA,2024,SPRINT AUT 2.0L 4CIL 4P 280 CP,AUTO,TRUE
AXA,80871,ALFA ROMEO,GIULIA TUR,2017,GENERICA,,TRUE
AXA,82207,ALFA ROMEO,GIULIETTA,2012,TURBO STD 4P 4CIL,MANUAL,TRUE
AXA,79076,ALFA ROMEO,GIULIETTA,2016,TURBO STD 2P 4CIL,MANUAL,TRUE
AXA,92491,ALFA ROMEO,GIULIETTA,2016,QUADRIFOGLIO VERDE AUT 5P 4CIL,,TRUE
AXA,79252,ALFA ROMEO,GIULIETTA,2017,VELOCE TCT 2P 4CIL,AUTO,TRUE
AXA,84161,ALFA ROMEO,GIULIETTA,2017,TI AUT 4P 4CIL,AUTO,TRUE
AXA,85844,ALFA ROMEO,GIULIETTA,2018,VELOCE TCT 5P 4CIL,AUTO,TRUE
AXA,89275,ALFA ROMEO,GIULIETTA,2021,110 EDIZONE AUT 1.8L 4CIL 5P,AUTO,TRUE
AXA,82826,ALFA ROMEO,GT,2003,JTS SS DISTINTIVE 2P 6CIL,,TRUE
AXA,84427,ALFA ROMEO,GT,2007,JTS SS DISTINTIVE 2P 4CIL,,TRUE
AXA,76330,ALFA ROMEO,GT,2007,STD 2P 6CIL 4X4,MANUAL,TRUE
AXA,77951,ALFA ROMEO,GT,2008,SELESPEED COUP� 2P PIEL 4CIL,AUTO,TRUE
AXA,89268,ALFA ROMEO,GT,2008,SELESPEED COUPÃ¿ 2P PIEL 4CIL,AUTO,TRUE
AXA,77733,ALFA ROMEO,GTV,2002,SERIE LIMITATA AUT 2P 6CIL,AUTO,TRUE
AXA,83710,ALFA ROMEO,MITO,2012,STD 3P 4CIL,MANUAL,TRUE
AXA,78879,ALFA ROMEO,MITO,2013,STD 3P PIEL 4CIL,MANUAL,TRUE
AXA,77583,ALFA ROMEO,MITO,2015,PROGRESSION LUXURY STD 3P 4CIL,MANUAL,TRUE
AXA,88763,ALFA ROMEO,MITO,2015,QUADRIFOGLIO VERDE STD 3P PIEL 4CIL,MANUAL,TRUE
AXA,87383,ALFA ROMEO,MITO,2017,SUPER STD 3P 4CIL,MANUAL,TRUE
AXA,85747,ALFA ROMEO,MITO,2017,VELOCE STD 3P 4CIL,MANUAL,TRUE
AXA,79571,ALFA ROMEO,SPIDER,2003,CABRIOLET STD 2P 6CIL,MANUAL,TRUE
AXA,86110,ALFA ROMEO,SPIDER,2007,STD 2P 4CIL 4X4,MANUAL,TRUE
AXA,84204,ALFA ROMEO,STELVIO,2018,GENERICA,,TRUE
AXA,92656,ALFA ROMEO,STELVIO,2018,TI AUT 2L 4CIL 5P QC,,TRUE
AXA,80958,ALFA ROMEO,STELVIO,2019,AUT 5P 6CIL,AUTO,TRUE
AXA,80959,ALFA ROMEO,STELVIO,2019,QV AUT 5P 6CIL,AUTO,TRUE
AXA,89272,ALFA ROMEO,STELVIO,2020,QUADRIFOGLIO AUT 2.9L 6CIL 4X4 5P QC,AUTO,TRUE
AXA,92472,ALFA ROMEO,STELVIO,2021,TI LUSSO AUT 2L 4CIL 5P QC,,TRUE
AXA,93576,ALFA ROMEO,STELVIO,2022,VELOCE AUT 2L 4CIL 4X4 5P QC,AUTO,TRUE
