origen_aseguradora,id_original,marca,modelo,anio,version_original,transmision,activo
BX,117030,ACURA,INTEGRA,2023,"A-SPEC, L4, 1.5T, 200 CP, 4 PUERTAS, AUT",AUTO,1
BX,106487,ACURA,MDX,2005,AUT. 07 OCUP.,AUTO,1
BX,106488,ACURA,MDX,2005,LUJO 3.7L 4X4 AUT. V/P CD,AUTO,1
BX,106489,ACURA,MDX,2006,AUT. 07 OCUP.,AUTO,1
BX,106490,ACURA,MDX,2006,LUJO 3.7L 4X4 AUT. V/P CD,AUTO,1
BX,106491,ACURA,MDX,2007,AUT. 07 OCUP.,AUTO,1
BX,106492,ACURA,MDX,2007,LUJO 3.7L 4X4 AUT. V/P CD,AUTO,1
BX,106493,ACURA,MDX,2008,AUT. 07 OCUP.,AUTO,1
BX,106494,ACURA,MDX,2008,LUJO 3.7L 4X4 AUT. V/P CD,AUTO,1
BX,106495,ACURA,MDX,2009,AUT. 07 OCUP.,AUTO,1
BX,106496,ACURA,MDX,2009,LUJO 3.7L 4X4 AUT. V/P CD,AUTO,1
BX,106497,ACURA,MDX,2010,AUT. 07 OCUP.,AUTO,1
BX,106498,ACURA,MDX,2010,LUJO 3.7L R18 AWD MP3 SPORTSHIFT AUT. V/P CD,AUTO,1
BX,106499,ACURA,MDX,2011,AUT. 07 OCUP.,AUTO,1
BX,106500,ACURA,MDX,2011,LUJO 3.7L R18 AWD MP3 SPORTSHIFT AUT. V/P CD,AUTO,1
BX,106501,ACURA,MDX,2012,AUT. 07 OCUP.,AUTO,1
BX,106502,ACURA,MDX,2012,LUJO 3.7L R18 AWD MP3 SPORTSHIFT AUT. V/P CD,AUTO,1
BX,106503,ACURA,MDX,2013,AUT. 07 OCUP.,AUTO,1
BX,106504,ACURA,MDX,2013,LUJO 3.7L R18 AWD MP3 SPORTSHIFT AUT. V/P CD,AUTO,1
BX,106505,ACURA,MDX,2014,AUT. 07 OCUP.,AUTO,1
BX,106506,ACURA,MDX,2014,LUJO 3.7L R18 AWD MP3 SPORTSHIFT AUT. V/P CD,AUTO,1
BX,106507,ACURA,MDX,2014,SH 3.5L AWD  AUT. V/P CD,AUTO,1
BX,106508,ACURA,MDX,2014,TECH 3.5L AUT. V/P CD,AUTO,1
BX,106509,ACURA,MDX,2015,AUT. 07 OCUP.,AUTO,1
BX,106510,ACURA,MDX,2015,LUJO 3.7L R18 AWD MP3 SPORTSHIFT AUT. V/P CD,AUTO,1
BX,106511,ACURA,MDX,2015,SH 3.5L AWD  AUT. V/P CD,AUTO,1
BX,106512,ACURA,MDX,2015,TECH 3.5L AUT. V/P CD,AUTO,1
BX,106513,ACURA,MDX,2016,AUT. 07 OCUP.,AUTO,1
BX,106514,ACURA,MDX,2016,LUJO 3.7L R18 AWD MP3 SPORTSHIFT AUT. V/P CD,AUTO,1
BX,106515,ACURA,MDX,2016,SH 3.5L AWD  AUT. V/P CD,AUTO,1
BX,106516,ACURA,MDX,2016,TECH 3.5L AUT. V/P CD,AUTO,1
BX,106517,ACURA,MDX,2017,SH 3.5L AWD  AUT. V/P CD,AUTO,1
BX,106518,ACURA,MDX,2018,SH 3.5L AWD  AUT. V/P CD,AUTO,1
BX,106519,ACURA,MDX,2019,"A-SPEC, 3.5L, 5 PUERTAS, AUTOMATICA",AUTO,1
BX,106520,ACURA,MDX,2019,TECH 3.5L AUT. V/P CD,AUTO,1
BX,106521,ACURA,MDX,2020,"A-SPEC, 3.5L, 5 PUERTAS, AUTOMATICA",AUTO,1
BX,106522,ACURA,MDX,2020,TECH 3.5L AUT. V/P CD,AUTO,1
BX,117022,ACURA,MDX,2022,TYPE S V6 3.0T 350 CP 5 PUERTAS AUT,AUTO,1
BX,116114,ACURA,MDX,2022,"ADVANCE, V6, 3.5L, 290 CP, 5 PUERTAS, AUT",AUTO,1
BX,117023,ACURA,MDX,2023,TYPE S V6 3.0T 350 CP 5 PUERTAS AUT,AUTO,1
BX,117021,ACURA,MDX,2023,"ADVANCE, V6, 3.5L, 290 CP, 5 PUERTAS, AUT",AUTO,1
BX,119134,ACURA,MDX,2024,"ADVANCE, V6, 3.5L, 290 CP, 5 PUERTAS, AUT",AUTO,1
BX,119135,ACURA,MDX,2025,"ADVANCE, V6, 3.5L, 290 CP, 5 PUERTAS, AUT",AUTO,1
BX,119136,ACURA,MDX,2025,TYPE S V6 3.0T 350 CP 5 PUERTAS AUT,AUTO,1
BX,106626,ACURA,NSX,2017,"BASE BI-TURBO GASOLINA MOTOR ELECTRICO ""DRIVE DIRECT"" 3.5L",AUTO,1
BX,106627,ACURA,NSX,2017,EXCLUSIVE 3.5T 2 PTAS AUT,AUTO,1
BX,106628,ACURA,NSX,2019,"BASE, 3.5T, 2 PUERTAS, AUTOMATICA, HIBRIDO ",AUTO,1
BX,106629,ACURA,NSX,2019,EXCLUSIVE 3.5T 2 PTAS AUT,AUTO,1
BX,106523,ACURA,RDX,2007,AUT. 05 OCUP.,AUTO,1
BX,106524,ACURA,RDX,2007,LUJO 2.3L 4X4 SPORTSHIFT AUT. V/P CD,AUTO,1
BX,106525,ACURA,RDX,2008,AUT. 05 OCUP.,AUTO,1
BX,106526,ACURA,RDX,2008,LUJO 2.3L 4X4 SPORTSHIFT AUT. V/P CD,AUTO,1
BX,106527,ACURA,RDX,2009,AUT. 05 OCUP.,AUTO,1
BX,106528,ACURA,RDX,2009,LUJO 2.3L 4X4 SPORTSHIFT AUT. V/P CD,AUTO,1
BX,106529,ACURA,RDX,2010,AUT. 05 OCUP.,AUTO,1
BX,106530,ACURA,RDX,2010,LUJO 2.3L 4X4 SPORTSHIFT AUT. V/P CD,AUTO,1
BX,106531,ACURA,RDX,2011,AUT. 05 OCUP.,AUTO,1
BX,106532,ACURA,RDX,2011,LUJO 2.3L 4X4 SPORTSHIFT AUT. V/P CD,AUTO,1
BX,106533,ACURA,RDX,2012,AUT. 05 OCUP.,AUTO,1
