origen_aseguradora,id_original,marca,modelo,anio,version_original,transmision,activo
CHUBB,4041,ACURA,ILX,2013,PREMIUM L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,4042,ACURA,ILX,2013,TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,4041,ACURA,ILX,2014,PREMIUM L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,4042,ACURA,ILX,2014,TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,4500,ACURA,ILX,2014,LUXURY L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,4041,ACURA,ILX,2015,PREMIUM L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,4042,ACURA,ILX,2015,TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,4042,ACURA,ILX,2016,TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,5075,ACURA,ILX,2016,A-SPEC L4 IMO AUT 4 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,4042,ACURA,ILX,2017,TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,5075,ACURA,ILX,2017,A-SPEC L4 IMO AUT 4 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,4042,ACURA,ILX,2018,TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,5075,ACURA,ILX,2018,A-SPEC L4 IMO AUT 4 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,4042,ACURA,ILX,2019,TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,5075,ACURA,ILX,2019,A-SPEC L4 IMO AUT 4 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,4042,ACURA,ILX,2020,TECH L4 IMO AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,5075,ACURA,ILX,2020,A-SPEC L4 IMO AUT 4 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,8566,ACURA,INTEGRA,2023,A-SPEC L4 FSI AUT 4 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,8566,ACURA,INTEGRA,2024,A-SPEC L4 FSI AUT 4 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,8954,ACURA,INTEGRA,2024,TYPE-S L4 FSI STD 4 ABS CA CE PIEL SM SQ CB,MANUAL,1
CHUBB,1,ACURA,MDX,2005,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,1,ACURA,MDX,2006,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,1,ACURA,MDX,2007,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,1,ACURA,MDX,2008,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,1,ACURA,MDX,2009,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,1,ACURA,MDX,2010,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,1,ACURA,MDX,2011,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,1,ACURA,MDX,2012,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,1,ACURA,MDX,2013,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,1,ACURA,MDX,2014,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,4781,ACURA,MDX,2014,TECH V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,1,ACURA,MDX,2015,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,1,ACURA,MDX,2016,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,1,ACURA,MDX,2017,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,1,ACURA,MDX,2018,SUV AUT CA	  SUV  V6  IPC  AUT  4  ABS  CA  CE  PIEL  CD  CQ  CB,AUTO,1
CHUBB,4781,ACURA,MDX,2019,TECH V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,6353,ACURA,MDX,2019,A-SPEC V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,4781,ACURA,MDX,2020,TECH V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,6353,ACURA,MDX,2020,A-SPEC V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,8159,ACURA,MDX,2022,ADVANCE V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,,1
CHUBB,8459,ACURA,MDX,2022,TYPE-S V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,8159,ACURA,MDX,2023,ADVANCE V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,8459,ACURA,MDX,2023,TYPE-S V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,8159,ACURA,MDX,2024,ADVANCE V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,8459,ACURA,MDX,2024,TYPE-S V6 FSI AUT 5 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,5714,ACURA,NSX,2017,V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,AUTO,1
CHUBB,5715,ACURA,NSX,2017,EXCLUSIVE V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,AUTO,1
CHUBB,5714,ACURA,NSX,2018,V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,AUTO,1
CHUBB,5715,ACURA,NSX,2018,EXCLUSIVE V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,AUTO,1
CHUBB,5714,ACURA,NSX,2019,V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,AUTO,1
CHUBB,5715,ACURA,NSX,2019,EXCLUSIVE V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,AUTO,1
CHUBB,5714,ACURA,NSX,2020,V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,AUTO,1
CHUBB,5715,ACURA,NSX,2020,EXCLUSIVE V6 TUR AUT 2 ABS CA CE PIEL SM SQ CB,AUTO,1
CHUBB,2,ACURA,RDX,2007,2.3 L L4 IPC AUT 5 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,2,ACURA,RDX,2008,2.3 L L4 IPC AUT 5 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,2,ACURA,RDX,2009,2.3 L L4 IPC AUT 5 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,2,ACURA,RDX,2010,2.3 L L4 IPC AUT 5 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,2,ACURA,RDX,2011,2.3 L L4 IPC AUT 5 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,2,ACURA,RDX,2012,2.3 L L4 IPC AUT 5 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,4174,ACURA,RDX,2013,3.5 V6 IPC AUT 5 ABS CA CE PIEL CD QC CB,AUTO,1
CHUBB,4174,ACURA,RDX,2014,3.5 V6 IPC AUT 5 ABS CA CE PIEL CD QC CB,AUTO,1
CHUBB,4174,ACURA,RDX,2015,3.5 V6 IPC AUT 5 ABS CA CE PIEL CD QC CB,AUTO,1
CHUBB,4174,ACURA,RDX,2016,3.5 V6 IPC AUT 5 ABS CA CE PIEL CD QC CB,AUTO,1
CHUBB,4174,ACURA,RDX,2017,3.5 V6 IPC AUT 5 ABS CA CE PIEL CD QC CB,AUTO,1
CHUBB,4174,ACURA,RDX,2018,3.5 V6 IPC AUT 5 ABS CA CE PIEL CD QC CB,AUTO,1
CHUBB,6340,ACURA,RDX,2019,TECH L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,AUTO,1
CHUBB,6341,ACURA,RDX,2019,A-SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,AUTO,1
CHUBB,6340,ACURA,RDX,2020,TECH L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,AUTO,1
CHUBB,6341,ACURA,RDX,2020,A-SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,AUTO,1
CHUBB,6340,ACURA,RDX,2021,TECH L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,AUTO,1
CHUBB,6341,ACURA,RDX,2021,A-SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,AUTO,1
CHUBB,6341,ACURA,RDX,2022,A-SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,AUTO,1
CHUBB,8313,ACURA,RDX,2022,ADVANCE L4 IMP AUT 5 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,6341,ACURA,RDX,2023,A-SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,AUTO,1
CHUBB,8313,ACURA,RDX,2023,ADVANCE L4 IMP AUT 5 ABS CA CE PIEL SM CQ CB,AUTO,1
CHUBB,3,ACURA,RL,2005,SEDAN V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,3,ACURA,RL,2006,SEDAN V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,3,ACURA,RL,2007,SEDAN V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,3,ACURA,RL,2008,SEDAN V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,3,ACURA,RL,2009,SEDAN V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,3,ACURA,RL,2010,SEDAN V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,3,ACURA,RL,2011,SEDAN V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,4336,ACURA,RLX,2014,3.5 V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,4336,ACURA,RLX,2015,3.5 V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,5,ACURA,TL,2005,SEDAN V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,5,ACURA,TL,2006,SEDAN V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,5,ACURA,TL,2007,SEDAN V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
CHUBB,5,ACURA,TL,2008,SEDAN V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,AUTO,1
