origen_aseguradora,id_original,marca,modelo,anio,version_original,transmision,activo
ELPOTOSI,49702,ACURA,TL,2004,"3.5 AUT 4 PTAS 5 OCUP , 6 CIL, ABS, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,21834,ACURA,TL,2005,3.5L Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD SQ CB,AUTO,1
ELPOTOSI,21835,ACURA,TL,2005,3.2L Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,23307,ACURA,TL,2006,3.5L Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD SQ CB,AUTO,1
ELPOTOSI,24873,ACURA,TL,2007,3.5L Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD SQ CB,AUTO,1
ELPOTOSI,26420,ACURA,TL,2008,3.2L Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,27924,ACURA,TL,2009,3.5L Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD SQ CB,AUTO,1
ELPOTOSI,27925,ACURA,TL,2009,3.7 Aut 0 Ton 5 Ocup 5 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,29296,ACURA,TL,2010,3.7 Aut 0 Ton 5 Ocup 5 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,29295,ACURA,TL,2010,3.5L Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD SQ CB,AUTO,1
ELPOTOSI,30575,ACURA,TL,2011,3.5L Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD SQ CB,AUTO,1
ELPOTOSI,31817,ACURA,TL,2012,3.5L Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD SQ CB,AUTO,1
ELPOTOSI,31818,ACURA,TL,2012,3.7 Aut 0 Ton 5 Ocup 5 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,33057,ACURA,TL,2013,3.5L Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD SQ CB,AUTO,1
ELPOTOSI,45071,ACURA,ILX,2012,A-SPEC A 0 TON 5 OCUP 4 PTAS L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,33061,ACURA,ILX,2013,PREMIUM Aut 0 Ton 5 Ocup 5 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,33060,ACURA,ILX,2013,TECH 2.0L Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD SQ CB,AUTO,1
ELPOTOSI,34281,ACURA,ILX,2014,TECH 2.0L Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD SQ CB,AUTO,1
ELPOTOSI,34282,ACURA,ILX,2014,PREMIUM Aut 0 Ton 5 Ocup 5 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,44690,ACURA,ILX,2014,A 0 TON 5 OCUP 4 PTAS L4 ABS CA CE TELA CD  CB,AUTO,1
ELPOTOSI,45200,ACURA,ILX,2014,LUXURY A 0 TON 5 OCUP 4 PTAS L4 ABS CA CE TELA CD  CB,AUTO,1
ELPOTOSI,35500,ACURA,ILX,2015,PREMIUM Aut 0 Ton 5 Ocup 5 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,35499,ACURA,ILX,2015,TECH 2.0L Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD SQ CB,AUTO,1
ELPOTOSI,48245,ACURA,ILX,2016,"TECH 2.0LAUT 4 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,36779,ACURA,ILX,2016,A-SPEC Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,37936,ACURA,ILX,2017,A-SPEC Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,48246,ACURA,ILX,2017,"TECH 2.0LAUT 4 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,38934,ACURA,ILX,2018,A-SPEC Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,45176,ACURA,ILX,2018,TECH 2.4L A 0 TON 5 OCUP 4 PTAS L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,48247,ACURA,ILX,2019,"A-SPECAUT 4 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,40590,ACURA,ILX,2020,A-SPEC Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,40591,ACURA,ILX,2020,TECH 2.4L Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,50876,ACURA,INTEGRA,2023,"A-SPECAUT 4 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,48714,ACURA,MDX,2004,"AUT 5 PTAS 7 OCUP , 6 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,21831,ACURA,MDX,2005,Aut 0 Ton 7 Ocup 5 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,21832,ACURA,MDX,2005,RL Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
