origen_aseguradora,id_original,marca,modelo,anio,version_original,transmision,activo
GNP,1_2001,SEAT,LEON,2001,SEAT LEON SPORT STD. C/A. AC. V.E.,MANUAL,1
GNP,1_2002,SEAT,LEON,2002,SEAT LEON SPORT STD. C/A. AC. V.E.,MANUAL,1
GNP,1_2003,SEAT,LEON,2003,SEAT LEON SPORT STD. C/A. AC. V.E.,MANUAL,1
GNP,2_2001,SEAT,LEON,2001,SEAT LEON SPORT STD CA AC VE QC,MANUAL,1
GNP,2_2002,SEAT,LEON,2002,SEAT LEON SPORT STD CA AC VE QC,MANUAL,1
GNP,2_2003,SEAT,LEON,2003,SEAT LEON SPORT STD CA AC VE QC,MANUAL,1
GNP,2_2004,SEAT,LEON,2004,SEAT LEON SPORT STD CA AC VE QC,MANUAL,1
GNP,2_2005,SEAT,LEON,2005,SEAT LEON SPORT STD CA AC VE QC,MANUAL,1
GNP,3_2001,SEAT,LEON,2001,SEAT LEON SPORT AUT. C/A. AC. V.E.,AUTO,1
GNP,3_2002,SEAT,LEON,2002,SEAT LEON SPORT AUT. C/A. AC. V.E.,AUTO,1
GNP,3_2003,SEAT,LEON,2003,SEAT LEON SPORT AUT. C/A. AC. V.E.,AUTO,1
GNP,4_2001,SEAT,LEON,2001,SEAT LEON SPORT AUT. C/A. AC. V.E. Q.C.,AUTO,1
GNP,4_2002,SEAT,LEON,2002,SEAT LEON SPORT AUT. C/A. AC. V.E. Q.C.,AUTO,1
GNP,4_2003,SEAT,LEON,2003,SEAT LEON SPORT AUT. C/A. AC. V.E. Q.C.,AUTO,1
GNP,4_2004,SEAT,LEON,2004,SEAT LEON SPORT AUT. C/A. AC. V.E. Q.C.,AUTO,1
GNP,5_2001,SEAT,LEON,2001,SEAT LEON SPORT TURBO AUT. C/A. AC. V.E.,AUTO,1
GNP,6_2001,SEAT,LEON,2001,SEAT LEON SPORT TURBO AUT C/A AC VE QC,AUTO,1
GNP,7_2001,SEAT,LEON,2001,SEAT LEON SPORT TURBO STD. C/A. AC. V.E.,MANUAL,1
GNP,7_2002,SEAT,LEON,2002,SEAT LEON SPORT TURBO STD. C/A. AC. V.E.,MANUAL,1
GNP,7_2003,SEAT,LEON,2003,SEAT LEON SPORT TURBO STD. C/A. AC. V.E.,MANUAL,1
GNP,7_2004,SEAT,LEON,2004,SEAT LEON SPORT TURBO STD. C/A. AC. V.E.,MANUAL,1
GNP,8_2001,SEAT,LEON,2001,SEAT LEON SPORT TURBO STD.C/A.AC.V.E.Q.C,MANUAL,1
GNP,8_2002,SEAT,LEON,2002,SEAT LEON SPORT TURBO STD.C/A.AC.V.E.Q.C,MANUAL,1
GNP,8_2003,SEAT,LEON,2003,SEAT LEON SPORT TURBO STD.C/A.AC.V.E.Q.C,MANUAL,1
GNP,8_2004,SEAT,LEON,2004,SEAT LEON SPORT TURBO STD.C/A.AC.V.E.Q.C,MANUAL,1
GNP,8_2005,SEAT,LEON,2005,SEAT LEON SPORT TURBO STD.C/A.AC.V.E.Q.C,MANUAL,1
GNP,9_2003,SEAT,LEON,2003,SEAT LEON CUPRA,,1
GNP,9_2004,SEAT,LEON,2004,SEAT LEON CUPRA,,1
GNP,9_2005,SEAT,LEON,2005,SEAT LEON CUPRA,,1
GNP,9_2006,SEAT,LEON,2006,SEAT LEON CUPRA,,1
GNP,10_2003,SEAT,LEON,2003,SEAT LEON STELLA STD C/A AC,MANUAL,1
GNP,10_2004,SEAT,LEON,2004,SEAT LEON STELLA STD C/A AC,MANUAL,1
GNP,11_2003,SEAT,LEON,2003,SEAT LEON SIGNO STD C/A AC,MANUAL,1
GNP,11_2004,SEAT,LEON,2004,SEAT LEON SIGNO STD C/A AC,MANUAL,1
GNP,11_2005,SEAT,LEON,2005,SEAT LEON SIGNO STD C/A AC,MANUAL,1
GNP,12_2003,SEAT,LEON,2003,SEAT LEON SIGNO AUT C/A AC,AUTO,1
