origen_aseguradora,id_original,marca,modelo,anio,version_original,transmision,activo
HDI,9146,ACURA,ACURA RLX,2014,RLX,,1
HDI,9904,ACURA,ACURA RLX,2015,RLX,,1
HDI,83228,ACURA,ILX,2013,"PREMIUM, L4, 2.0L, 150 CP, 4 PUERTAS, AUT",,1
HDI,85675,ACURA,ILX,2013,"TECH, L4, 2.0L, 150 CP, 4 PUERTAS, AUT",,1
HDI,83229,ACURA,ILX,2014,"LUXURY, L4, 2.0L, 150 CP, 4 PUERTAS, AUT",,1
HDI,85676,ACURA,ILX,2014,"PREMIUM, L4, 2.0L, 150 CP, 4 PUERTAS, AUT",,1
HDI,85677,ACURA,ILX,2014,"TECH, L4, 2.0L, 150 CP, 4 PUERTAS, AUT",,1
HDI,83230,ACURA,ILX,2015,"PREMIUM, L4, 2.0L, 150 CP, 4 PUERTAS, AUT",,1
HDI,85678,ACURA,ILX,2015,"TECH, L4, 2.0L, 150 CP, 4 PUERTAS, AUT",,1
HDI,10622,ACURA,ILX,2016,"A SPEC, L4, 2.4L, 201 CP, 4 PUERTAS, AUT",,1
HDI,85679,ACURA,ILX,2016,"TECH, L4, 2.4L, 201 CP, 4 PUERTAS, AUT",,1
HDI,11346,ACURA,ILX,2017,"A SPEC, L4, 2.4L, 201 CP, 4 PUERTAS, AUT",,1
HDI,85680,ACURA,ILX,2017,"TECH, L4, 2.4L, 201 CP, 4 PUERTAS, AUT",,1
HDI,12080,ACURA,ILX,2018,"A SPEC, L4, 2.4L, 201 CP, 4 PUERTAS, AUT",,1
HDI,85681,ACURA,ILX,2018,"TECH, L4, 2.4L, 201 CP, 4 PUERTAS, AUT",,1
HDI,12814,ACURA,ILX,2019,"A SPEC, L4, 2.4L, 201 CP, 4 PUERTAS, AUT",,1
HDI,85682,ACURA,ILX,2019,A-SPEC,,1
HDI,85683,ACURA,ILX,2019,"TECH, L4, 2.4L, 201 CP, 4 PUERTAS, AUT",,1
HDI,13461,ACURA,ILX,2020,"A SPEC, L4, 2.4L, 201 CP, 4 PUERTAS, AUT",,1
HDI,85684,ACURA,ILX,2020,"TECH, L4, 2.4L, 201 CP, 4 PUERTAS, AUT",,1
HDI,83253,ACURA,INTEGRA,2023,"A-SPEC, L4, 1.5T, 200 CP, 4 PUERTAS, AUT",,1
HDI,83254,ACURA,INTEGRA,2024,"A-SPEC, L4, 1.5T, 200 CP, 4 PUERTAS, AUT",,1
HDI,85713,ACURA,INTEGRA,2024,"TYPE S, L4,2.0T, 315 CP, 4 PUERTAS, STD",,1
