origen_aseguradora,id_original,marca,modelo_version_completo,anio,version_corta,transmision,activo
MAPFRE,1, JMC,EV BLACK BEV TA,2024,BEV TA,AUTO,1
MAPFRE,31,ACURA,ACURA ILX A-SPEC,2015,A-SPEC,,1
MAPFRE,31,ACURA,ACURA ILX A-SPEC,2016,A-SPEC,,1
MAPFRE,31,ACURA,ACURA ILX A-SPEC,2017,A-SPEC,,1
MAPFRE,31,ACURA,ACURA ILX A-SPEC,2018,A-SPEC,,1
MAPFRE,40,ACURA,ACURA ILX A-SPEC,2019,A-SPEC,,1
MAPFRE,40,ACURA,ACURA ILX A-SPEC,2020,A-SPEC,,1
MAPFRE,27,ACURA,ACURA ILX LUXURY,2014,LUXURY,,1
MAPFRE,20,ACURA,ACURA ILX PREMIUM,2013,PREMIUM,,1
MAPFRE,20,ACURA,ACURA ILX PREMIUM,2014,PREMIUM,,1
MAPFRE,20,ACURA,ACURA ILX PREMIUM,2015,PREMIUM,,1
MAPFRE,21,ACURA,ACURA ILX TECH,2013,TECH,,1
MAPFRE,21,ACURA,ACURA ILX TECH,2014,TECH,,1
MAPFRE,21,ACURA,ACURA ILX TECH,2015,TECH,,1
MAPFRE,21,ACURA,ACURA ILX TECH,2016,TECH,,1
MAPFRE,21,ACURA,ACURA ILX TECH,2017,TECH,,1
MAPFRE,21,ACURA,ACURA ILX TECH,2018,TECH,,1
MAPFRE,39,ACURA,ACURA ILX TECH,2019,TECH,,1
MAPFRE,39,ACURA,ACURA ILX TECH,2020,TECH,,1
MAPFRE,50,ACURA,ACURA INTEGRA A-SPEC TA,2023,A-SPEC TA,AUTO,1
MAPFRE,50,ACURA,ACURA INTEGRA A-SPEC TA,2024,A-SPEC TA,AUTO,1
MAPFRE,50,ACURA,ACURA INTEGRA A-SPEC TA,2025,A-SPEC TA,AUTO,1
MAPFRE,3,ACURA,ACURA MDX 3.5 5V AUT PIEL,2005,3.5 5V AUT PIEL,AUTO,1
MAPFRE,3,ACURA,ACURA MDX 3.5 5V AUT PIEL,2006,3.5 5V AUT PIEL,AUTO,1
MAPFRE,3,ACURA,ACURA MDX 3.5 5V AUT PIEL,2007,3.5 5V AUT PIEL,AUTO,1
MAPFRE,26,ACURA,ACURA MDX 3.5 6V AUT,2014,3.5 6V AUT,AUTO,1
MAPFRE,26,ACURA,ACURA MDX 3.5 6V AUT,2015,3.5 6V AUT,AUTO,1
MAPFRE,26,ACURA,ACURA MDX 3.5 6V AUT,2016,3.5 6V AUT,AUTO,1
