origen_aseguradora,id_original,marca,modelo,anio,version_original,transmision,activo
QUALITAS,372340,ACURA,ADX,2025,"ADVANCE 5P L4 1.5T AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,372341,ACURA,ADX,2025,"A-SPEC 5P L4 1.5T AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,351890,ACURA,ILX,2013,"TECHNOLOGY PACKAGE 2.0L SPORTSHIFT AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,352480,ACURA,ILX,2013,"PREMIUM 4P L4 2.0L SPORTSHIFT AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,352820,ACURA,ILX,2014,"TECHNOLOGY PACKAGE 2.0L SPORTSHIFT AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,353503,ACURA,ILX,2014,"PREMIUM 4P L4 2.0L SPORTSHIFT AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,350713,ACURA,ILX,2014,LUXURY 4P L4 2.0L ABS BA QC AC R16 CAM TRAS AUT 5 OCUP,AUTO,TRUE
QUALITAS,354462,ACURA,ILX,2015,"PREMIUM 4P L4 2.0L SPORTSHIFT AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,356103,ACURA,ILX,2015,"TECHNOLOGY PACKAGE 2.0L SPORTSHIFT AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,356925,ACURA,ILX,2016,A-SPEC 4P L4 2.0L ABS BA QC AC GPS R18 AUT 5 OCUP,AUTO,TRUE
QUALITAS,356926,ACURA,ILX,2016,TECH 4P L4 2.4L AUT 5 OCUP,AUTO,TRUE
QUALITAS,355627,ACURA,ILX,2017,TECH 4P L4 2.4L AUT 5 OCUP,AUTO,TRUE
QUALITAS,358306,ACURA,ILX,2017,A-SPEC 4P L4 2.4L QC NAVI R18 AUT 5 OCUP,AUTO,TRUE
QUALITAS,358813,ACURA,ILX,2018,TECH 4P L4 2.4L AUT 5 OCUP,AUTO,TRUE
QUALITAS,361215,ACURA,ILX,2018,A-SPEC 4P L4 2.4L QC NAVI R18 AUT 5 OCUP,AUTO,TRUE
QUALITAS,359706,ACURA,ILX,2019,TECH 4P L4 2.4L AUT 5 OCUP,AUTO,TRUE
QUALITAS,359967,ACURA,ILX,2019,A-SPEC 4P L4 2.4L QC NAVI R18 AUT 5 OCUP,AUTO,TRUE
QUALITAS,362947,ACURA,ILX,2020,A-SPEC 4P L4 2.4L QC NAVI R18 AUT 5 OCUP,AUTO,TRUE
QUALITAS,364730,ACURA,ILX,2020,TECH 4P L4 2.4L AUT 5 OCUP,AUTO,TRUE
QUALITAS,367544,ACURA,INTEGRA,2023,"A-SPEC 4P L4 1.5T BA ABS AA VP AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,370351,ACURA,INTEGRA,2024,"A-SPEC 4P L4 1.5T BA ABS AA VP AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,370352,ACURA,INTEGRA,2024,"TYPE S 4P L4 2.0T BA ABS STD., 05 OCUP.",MANUAL,TRUE
QUALITAS,371857,ACURA,INTEGRA,2025,"A-SPEC 4P L4 1.5T BA ABS AA VP AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,371858,ACURA,INTEGRA,2025,"TYPE S 4P L4 2.0T BA ABS STD., 05 OCUP.",MANUAL,TRUE
QUALITAS,341613,ACURA,MDX,2005,"AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,342377,ACURA,MDX,2006,"AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,340707,ACURA,MDX,2007,"AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,343905,ACURA,MDX,2008,"AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,344807,ACURA,MDX,2009,"AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,347865,ACURA,MDX,2010,"AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,346211,ACURA,MDX,2011,"AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,351801,ACURA,MDX,2012,"AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,352712,ACURA,MDX,2013,"AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,353697,ACURA,MDX,2014,"AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,350714,ACURA,MDX,2014,SH 5P V6 3.5L AWD R19 AUT 5 OCUP,AUTO,TRUE
QUALITAS,350715,ACURA,MDX,2014,TECH 5P V6 3.5L NAVI R19 AUT 5 OCUP,AUTO,TRUE
QUALITAS,354110,ACURA,MDX,2015,SH 5P V6 3.5L AWD R19 AUT 5 OCUP,AUTO,TRUE
QUALITAS,354111,ACURA,MDX,2015,SH 5P V6 3.5L AWD ABS BA NAVI R20 AUT 7 OCUP,AUTO,TRUE
QUALITAS,357156,ACURA,MDX,2016,SH 5P V6 3.5L AWD R19 AUT 5 OCUP,AUTO,TRUE
QUALITAS,357157,ACURA,MDX,2016,SH 5P V6 3.5L AWD ABS BA NAVI R20 AUT 7 OCUP,AUTO,TRUE
QUALITAS,358303,ACURA,MDX,2017,SH 5P V6 3.5L AWD R19 AUT 5 OCUP,AUTO,TRUE
QUALITAS,358304,ACURA,MDX,2017,SH 5P V6 3.5L AWD ABS BA NAVI R20 AUT 7 OCUP,AUTO,TRUE
QUALITAS,361213,ACURA,MDX,2018,SH 5P V6 3.5L AWD ABS BA NAVI R20 AUT 7 OCUP,AUTO,TRUE
QUALITAS,359964,ACURA,MDX,2019,SH 5P V6 3.5L AWD ABS BA NAVI R20 AUT 7 OCUP,AUTO,TRUE
QUALITAS,360205,ACURA,MDX,2019,TECH 5P V6 3.5L AWD ABS BA QC AC R20 NAVI AUT 7 OCUP,AUTO,TRUE
QUALITAS,360206,ACURA,MDX,2019,A-SPEC 5P V6 3.5L AWD ABS BA QC AC R20 NAVI AUT 7 OCUP,AUTO,TRUE
QUALITAS,360208,ACURA,MDX,2019,"ADVANCE 5P V6 3.5L ABS NAVI QC AC AWD AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,362944,ACURA,MDX,2020,SH 5P V6 3.5L AWD ABS BA NAVI R20 AUT 7 OCUP,AUTO,TRUE
QUALITAS,363034,ACURA,MDX,2020,TECH 5P V6 3.5L AWD ABS BA QC AC R20 NAVI AUT 7 OCUP,AUTO,TRUE
QUALITAS,363035,ACURA,MDX,2020,A-SPEC 5P V6 3.5L AWD ABS BA QC AC R20 NAVI AUT 7 OCUP,AUTO,TRUE
QUALITAS,363036,ACURA,MDX,2020,"ADVANCE 5P V6 3.5L ABS NAVI QC AC AWD AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,365946,ACURA,MDX,2021,TECH 5P V6 3.5L AWD ABS BA QC AC R20 NAVI AUT 7 OCUP,AUTO,TRUE
QUALITAS,365948,ACURA,MDX,2021,"ADVANCE 5P V6 3.5L ABS NAVI QC AC AWD AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,366590,ACURA,MDX,2022,TECH 5P V6 3.5L AWD ABS BA QC AC R20 NAVI AUT 7 OCUP,AUTO,TRUE
QUALITAS,366592,ACURA,MDX,2022,"ADVANCE 5P V6 3.5L ABS NAVI QC AC AWD AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,366595,ACURA,MDX,2022,"TYPE S 5P V6 3.0T BA ABS AA VP AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,367540,ACURA,MDX,2023,"ADVANCE 5P V6 3.5L ABS NAVI QC AC AWD AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,367543,ACURA,MDX,2023,"TYPE S 5P V6 3.0T BA ABS AA VP AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,370347,ACURA,MDX,2024,"ADVANCE 5P V6 3.5L ABS NAVI QC AC AWD AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,370350,ACURA,MDX,2024,"TYPE S 5P V6 3.0T BA ABS AA VP AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,371865,ACURA,MDX,2025,"TYPE S 5P V6 3.0T BA ABS AA VP AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,371856,ACURA,MDX,2025,"ADVANCE 5P V6 3.5L ABS NAVI QC AC AWD AUT., 07 OCUP.",AUTO,TRUE
QUALITAS,358305,ACURA,NSX,2017,HIBRIDO 2P V6 3.5L AWD AUT 2 OCUP,AUTO,TRUE
QUALITAS,361214,ACURA,NSX,2018,HIBRIDO 2P V6 3.5L AWD AUT 2 OCUP,AUTO,TRUE
QUALITAS,359965,ACURA,NSX,2019,HIBRIDO 2P V6 3.5L AWD AUT 2 OCUP,AUTO,TRUE
QUALITAS,359966,ACURA,NSX,2019,EXCLUSIVE HIBRIDO 2P V6 3.5L TURBO AWD AUT 2 OCUP,AUTO,TRUE
QUALITAS,362945,ACURA,NSX,2020,HIBRIDO 2P V6 3.5L AWD AUT 2 OCUP,AUTO,TRUE
QUALITAS,362946,ACURA,NSX,2020,EXCLUSIVE HIBRIDO 2P V6 3.5L TURBO AWD AUT 2 OCUP,AUTO,TRUE
QUALITAS,340701,ACURA,RDX,2007,"AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,343899,ACURA,RDX,2008,"AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,344802,ACURA,RDX,2009,"AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,347860,ACURA,RDX,2010,"AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,346206,ACURA,RDX,2011,"AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,351797,ACURA,RDX,2012,"AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,352708,ACURA,RDX,2013,"AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,352481,ACURA,RDX,2013,"5P V6 3.5L 4X4 QC R18 SPORTSHIFT 5 AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,353504,ACURA,RDX,2014,"5P V6 3.5L 4X4 QC R18 SPORTSHIFT 5 AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,354463,ACURA,RDX,2015,"5P V6 3.5L 4X4 QC R18 SPORTSHIFT 5 AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,355401,ACURA,RDX,2016,"5P V6 3.5L 4X4 QC R18 SPORTSHIFT 5 AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,355628,ACURA,RDX,2017,SPORT 5P V6 3.5L AWD VP QC R18 AUT 5 OCUP,AUTO,TRUE
QUALITAS,360631,ACURA,RDX,2017,"5P V6 3.5L 4X4 QC R18 SPORTSHIFT 5 AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,359447,ACURA,RDX,2018,"5P V6 3.5L 4X4 QC R18 SPORTSHIFT 5 AUT., 05 OCUP.",AUTO,TRUE
QUALITAS,360203,ACURA,RDX,2019,TECH 5P L4 2.0T TBO AWD ABS BA QC AC R19 NAVI AUT 5 OC,AUTO,TRUE
QUALITAS,360204,ACURA,RDX,2019,A-SPEC 5P L4 2.0T TBO AWD ABS BA QC AC R20 NAVI AUT OC,AUTO,TRUE
